Statut & inventaire des immobilisations :;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type d'immobilisation :;Section analystique :;Statut :;Type de demande de modification du fichier des immobilisations :;;;;;;;;;;;;;;;;;;;;;;;;
immo inventoriables immatriculables (IMA);7500;Cmd en cours;Mise en service immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
immo inventoriables dénombrable (DEN);7510;Cmd réceptionné - Attente de mise en service;Cession - Vente de l'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
Immo Analysables (VAL) ;7520;Mise en service;Mise au rebut de l'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
-;7540;Perdu;Transfert d'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
-;-;Rebuté;-;;;;;;;;;;;;;;;;;;;;;;;;
-;-;Vendu;-;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°CAB;"Code Projet
(CAPEX)";"N° d'immo / 
Nom fond de dossier";Type d'immo;Fournisseur;Code article;Désignation;Description;N° de série;No CMD;Section analytique;Zone;Localisation;Qté;PU;Montant Cde dans la devise de transaction;Date OA;Date livr.;Date mise en service;Date sortie;Statut;BL;Facture;Type de demande de modification du fichier des immobilisations :;Decription du code projet;Propriétaire;Immatriculé ?;Colonne1
Z10047;22015465;Z10047_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;9PPJVQ3;5016342;;Sonde;PRO;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10048;22015465;Z10048_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;B6SLVQ3;5016342;;PRO;PRO;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10049;22015465;Z10049_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;BPPJVQ3;5016342;;IT;IT;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10050;22015465;Z10050_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;C6SLVQ3;5016342;;APPRO;SC;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10051;22015465;Z10051_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;CPPJVQ3;5016342;;MAGASIN;SC;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10052;22015465;Z10052_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;D6SLVQ3;5016342;;ACHAT;FINANCE;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10053;22015465;Z10053_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;DPPJVQ3;5016342;;DG;DG;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10054;22015465;Z10054_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;F6SLVQ3;5016342;;BE;BE;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10055;22015465;Z10055_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;FPPJVQ3;5016342;;EXPIDITION;SC;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10056;22015465;Z10056_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;G6SLVQ3;5016342;;EXPIDITION;SC;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10057;22015209;Z10057_22015209_5016342;immo inventoriables immatriculables (IMA);MICRODATA;P2319H;DELL 23 MONITOR-P2319H;;23PQ9H3;5016342;;YOUSRA;SC;1,00;;;;16/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;Immatriculé;
Z10058;22015209;Z10058_22015209_5016342;immo inventoriables immatriculables (IMA);MICRODATA;P2319H;DELL 23 MONITOR-P2319H;;42PQ9H3;5016342;;;;1,00;;;;16/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;Immatriculé;
